SessionID;CustomerID;SessionDurationMinutes;NumberOfPagesVisited;ItemsAddedToCart;ItemsRemovedFromCart;DeviceUsed
101;11805;41.43;25;2;0;Tablet
102;2100;12.47;11;0;0;Desktop
103;7737;22.27;13;0;0;Desktop
104;10446;11.84;19;0;0;Mobile
105;11898;5.06;3;4;0;Desktop
106;3709;2.98;5;0;0;Desktop
107;12029;28.38;18;4;0;Mobile
108;3638;21.53;11;0;0;Mobile
109;6688;22.15;19;0;0;Desktop
110;3484;9.15;6;0;0;Tablet
111;196;11.11;11;1;0;Desktop
112;6383;21.28;24;2;1;Desktop
113;8128;16.82;20;1;0;Mobile
114;12435;22.19;16;2;0;Tablet
115;7602;28.53;22;2;0;Mobile
116;8391;1.51;2;0;0;Tablet
117;12158;12.76;13;2;0;Tablet
118;8718;24.02;17;1;0;Mobile
119;2500;13.04;14;0;0;Mobile
120;6561;0.86;1;1;0;Tablet
121;1132;33.90;19;1;0;Tablet
122;353;3.33;4;0;0;Mobile
123;2330;2.56;4;0;0;Tablet
124;3617;25.09;13;0;0;Desktop
125;114;4.37;8;2;0;Tablet
126;11899;24.05;24;0;0;Tablet
127;2024;12.15;20;1;0;Tablet
128;2981;7.59;7;3;0;Tablet
129;6640;17.19;12;4;2;Desktop
130;4752;12.60;22;0;0;Mobile
131;10753;32.19;21;4;0;Mobile
132;2729;18.69;11;2;0;Mobile
133;1408;1.92;1;1;0;Desktop
134;11184;2.22;2;3;0;Mobile
135;6368;18.68;12;4;0;Tablet
136;8121;12.82;10;1;0;Mobile
137;4271;7.92;6;4;1;Mobile
138;3820;19.33;15;0;0;Mobile
139;9990;24.16;13;1;0;Mobile
140;196;29.94;21;0;0;Desktop
141;5800;2.93;2;4;0;Tablet
142;11836;40.79;25;4;0;Desktop
143;7175;12.68;7;0;0;Mobile
144;11829;33.67;19;4;0;Desktop
145;3162;27.16;14;4;3;Desktop
146;7882;9.65;12;0;0;Desktop
147;3015;1.67;3;2;0;Tablet
148;11010;2.96;3;3;2;Mobile
149;8262;40.16;23;0;0;Mobile
150;9827;15.82;20;2;0;Desktop
151;5100;37.92;21;0;0;Mobile
152;5725;16.24;10;2;0;Mobile
153;5946;16.34;15;0;0;Desktop
154;4473;14.86;25;0;0;Tablet
155;7917;1.58;2;0;0;Tablet
156;2264;23.97;13;0;0;Tablet
157;7512;5.78;5;0;0;Mobile
158;1865;28.98;25;2;0;Desktop
159;7534;5.78;8;0;0;Mobile
160;2886;6.78;9;0;0;Desktop
161;1053;2.25;2;1;0;Desktop
162;2226;27.64;24;0;0;Desktop
163;458;1.38;1;2;0;Tablet
164;11417;27.62;18;4;0;Desktop
165;1927;31.46;18;4;0;Desktop
166;3657;8.06;13;0;0;Desktop
167;9145;42.72;24;2;0;Desktop
168;12341;38.53;24;4;3;Tablet
169;10978;18.32;17;1;0;Desktop
170;10571;5.52;4;4;1;Tablet
171;7370;30.65;24;1;0;Desktop
172;1183;8.11;6;0;0;Mobile
173;8736;25.88;16;3;0;Tablet
174;12455;1.91;1;0;0;Tablet
175;2939;28.44;23;1;0;Desktop
176;5674;34.25;19;4;0;Desktop
177;3642;1.66;3;4;1;Tablet
178;922;26.75;17;0;0;Tablet
179;10432;15.69;19;2;0;Desktop
180;7645;18.73;14;0;0;Tablet
181;2648;0.95;1;3;2;Desktop
182;3741;7.11;12;3;0;Desktop
183;4175;7.28;6;0;0;Mobile
184;11232;25.24;23;4;0;Desktop
185;1607;18.95;16;3;0;Mobile
186;11212;31.47;22;1;0;Desktop
187;6614;38.98;24;2;0;Tablet
188;2730;22.55;23;3;0;Tablet
189;9523;14.87;9;0;0;Mobile
190;534;5.40;3;0;0;Desktop
191;4146;4.71;8;4;0;Tablet
192;8;11.67;13;2;0;Mobile
193;371;30.67;19;1;0;Desktop
194;2615;2.72;3;4;0;Mobile
195;6692;1.27;1;0;0;Mobile
196;5422;5.31;4;0;0;Tablet
197;1719;9.02;8;0;0;Tablet
198;12205;9.38;15;0;0;Tablet
199;6832;22.92;18;2;0;Desktop
200;7240;7.22;14;0;0;Tablet
201;6977;14.34;9;0;0;Desktop
202;4516;27.66;22;0;0;Tablet
203;3978;31.18;18;1;0;Tablet
204;3767;24.01;23;2;1;Mobile
205;842;5.35;8;0;0;Desktop
206;11159;19.54;23;0;0;Mobile
207;5233;26.74;22;0;0;Desktop
208;12027;6.55;9;0;0;Tablet
209;2050;23.02;24;0;0;Tablet
210;2706;28.88;24;3;0;Desktop
211;6420;12.40;15;1;0;Desktop
212;1512;26.86;20;0;0;Tablet
213;2372;9.65;16;2;0;Mobile
214;437;15.17;24;4;0;Desktop
215;5235;7.86;15;1;0;Mobile
216;1319;2.05;3;0;0;Mobile
217;12474;11.48;15;2;0;Desktop
218;6358;2.74;4;0;0;Desktop
219;1858;29.81;17;4;0;Mobile
220;8708;6.82;13;0;0;Tablet
221;6955;10.57;15;0;0;Mobile
222;7328;0.83;1;3;2;Desktop
223;3804;22.86;18;4;0;Desktop
224;6224;7.61;5;4;0;Desktop
225;566;4.76;3;2;0;Mobile
226;4569;22.31;23;1;0;Desktop
227;1820;2.76;2;1;0;Mobile
228;9683;24.89;24;0;0;Tablet
229;6941;31.12;16;3;0;Mobile
230;2841;20.30;17;3;0;Desktop
231;4053;8.53;5;0;0;Tablet
232;12085;0.88;1;0;0;Desktop
233;1003;14.30;17;0;0;Desktop
234;5435;2.56;4;0;0;Desktop
235;83;13.32;7;0;0;Tablet
236;6644;24.57;21;4;2;Desktop
237;11182;4.51;5;1;0;Desktop
238;10191;8.55;6;0;0;Mobile
239;1200;27.62;24;2;0;Tablet
240;9634;3.43;4;3;0;Desktop
241;12088;15.61;10;3;0;Tablet
242;9639;3.71;3;0;0;Tablet
243;2543;14.17;22;0;0;Tablet
244;3701;19.42;13;1;0;Desktop
245;3812;24.06;19;0;0;Mobile
246;5318;3.13;2;0;0;Tablet
247;2287;13.32;12;3;0;Mobile
248;6594;2.02;3;4;3;Tablet
249;5217;6.05;10;1;0;Mobile
250;2227;15.22;18;2;0;Tablet
251;8260;18.41;13;1;0;Mobile
252;8350;9.88;6;2;0;Mobile
253;3209;37.81;24;1;0;Desktop
254;8902;9.31;6;3;0;Tablet
255;2383;29.76;18;0;0;Desktop
256;3833;17.01;20;2;0;Tablet
257;8931;37.02;20;2;0;Desktop
258;3024;1.12;1;2;0;Mobile
259;4301;12.33;18;0;0;Mobile
260;8863;3.99;2;0;0;Tablet
261;2037;40.56;22;2;0;Mobile
262;7741;15.92;8;1;0;Tablet
263;5330;20.66;20;2;0;Desktop
264;3402;2.69;4;0;0;Desktop
265;8345;8.94;12;2;0;Desktop
266;11384;2.13;4;0;0;Mobile
267;12136;4.14;5;0;0;Tablet
268;7478;23.19;18;4;0;Desktop
269;6895;40.52;23;0;0;Tablet
270;3086;42.26;25;0;0;Mobile
271;9875;4.07;3;2;0;Mobile
272;5223;25.09;13;2;0;Tablet
273;3928;17.70;14;0;0;Mobile
274;11169;16.05;18;0;0;Desktop
275;10316;6.83;10;4;0;Desktop
276;6824;17.79;9;4;0;Mobile
277;4006;18.37;23;0;0;Tablet
278;7097;33.31;18;0;0;Mobile
279;6969;3.22;2;0;0;Mobile
280;198;32.03;25;0;0;Tablet
281;204;8.91;8;3;0;Desktop
282;2876;27.24;18;0;0;Mobile
283;3463;1.58;1;3;0;Desktop
284;3218;2.35;3;2;0;Desktop
285;7243;21.49;12;0;0;Desktop
286;9316;8.22;6;0;0;Desktop
287;5547;3.18;2;0;0;Mobile
288;1803;2.32;4;0;0;Tablet
289;513;17.31;14;0;0;Desktop
290;6676;15.42;23;0;0;Desktop
291;6367;1.74;2;0;0;Desktop
292;1039;1.50;1;3;0;Desktop
293;1632;8.93;15;2;0;Tablet
294;11638;9.64;14;0;0;Mobile
295;8293;22.36;15;1;0;Mobile
296;11865;35.37;19;4;0;Desktop
297;10532;1.75;1;1;0;Desktop
298;1021;13.92;11;2;0;Desktop
299;11427;20.47;12;0;0;Desktop
300;11648;1.76;1;0;0;Mobile
301;9005;1.91;1;0;0;Mobile
302;11;22.24;13;4;0;Mobile
303;5656;7.23;4;0;0;Desktop
304;6893;33.20;20;0;0;Desktop
305;9188;25.05;22;4;0;Tablet
306;9225;9.46;5;0;0;Desktop
307;3029;14.49;17;4;0;Tablet
308;1745;21.81;12;3;0;Mobile
309;3539;5.83;10;0;0;Desktop
310;11714;35.98;22;0;0;Mobile
311;6495;11.97;14;2;0;Desktop
312;4707;25.16;25;0;0;Tablet
313;3870;48.78;25;1;0;Tablet
314;8733;35.45;19;0;0;Tablet
315;11650;17.65;11;0;0;Mobile
316;5162;11.66;15;2;0;Desktop
317;6852;27.15;22;0;0;Desktop
318;4771;44.78;23;0;0;Desktop
319;2020;7.35;4;1;0;Desktop
320;4369;16.59;22;3;0;Desktop
321;11732;8.27;11;0;0;Tablet
322;2684;30.74;19;4;0;Tablet
323;8242;22.27;13;2;0;Desktop
324;11495;2.02;4;0;0;Mobile
325;2182;7.98;5;2;1;Desktop
326;9237;22.45;23;1;0;Desktop
327;6468;21.78;17;3;0;Tablet
328;3299;23.31;13;1;0;Mobile
329;8899;10.87;6;0;0;Desktop
330;399;0.58;1;3;0;Mobile
331;10273;7.51;9;0;0;Mobile
332;175;25.73;15;1;0;Tablet
333;8976;5.13;4;3;1;Tablet
334;8882;13.46;11;0;0;Tablet
335;4087;29.00;16;0;0;Tablet
336;9152;14.75;8;0;0;Mobile
337;5760;9.00;5;2;0;Desktop
338;8951;0.87;1;3;0;Mobile
339;5079;14.58;18;4;0;Mobile
340;3040;19.96;21;0;0;Tablet
341;8706;6.67;6;0;0;Desktop
342;8102;18.97;13;4;0;Tablet
343;4358;6.06;4;0;0;Tablet
344;6521;27.32;19;4;0;Desktop
345;11850;11.48;11;2;0;Desktop
346;11361;20.60;20;0;0;Tablet
347;4541;5.78;4;4;0;Mobile
348;178;4.60;7;1;0;Desktop
349;710;9.36;6;0;0;Tablet
350;366;37.86;21;0;0;Mobile
351;923;8.62;13;1;0;Desktop
352;3029;5.51;7;0;0;Desktop
353;10311;3.78;6;0;0;Tablet
354;9325;39.42;24;3;0;Desktop
355;2072;19.77;15;3;0;Mobile
356;11660;15.07;23;2;0;Tablet
357;12285;23.66;17;0;0;Mobile
358;9836;10.47;6;4;0;Mobile
359;1314;32.36;20;3;2;Mobile
360;7688;15.23;8;2;0;Tablet
361;10395;12.59;8;1;0;Mobile
362;7464;16.47;15;3;1;Tablet
363;7830;30.39;18;4;0;Mobile
364;5089;7.42;4;0;0;Tablet
365;5135;40.29;25;0;0;Desktop
366;7472;11.85;8;4;2;Mobile
367;10725;5.96;8;4;0;Tablet
368;8140;3.82;2;1;0;Desktop
369;4990;19.03;13;0;0;Desktop
370;10835;46.82;24;4;0;Desktop
371;10082;27.57;15;0;0;Tablet
372;2474;24.49;13;2;0;Mobile
373;5376;17.75;23;4;0;Tablet
374;5520;17.09;15;0;0;Mobile
375;6541;7.00;13;4;0;Mobile
376;2806;5.60;5;0;0;Desktop
377;4977;1.62;1;0;0;Tablet
378;2658;29.58;17;3;0;Tablet
379;1650;33.34;19;0;0;Mobile
380;10754;7.13;5;4;0;Mobile
381;1562;8.72;14;3;0;Desktop
382;4047;7.80;14;2;0;Desktop
383;748;8.06;7;4;2;Mobile
384;2514;20.97;15;4;1;Desktop
385;10057;31.06;24;0;0;Mobile
386;5199;30.48;16;0;0;Tablet
387;743;5.91;5;1;0;Mobile
388;9637;1.92;3;3;0;Mobile
389;4170;28.57;17;0;0;Desktop
390;6738;19.09;13;2;0;Mobile
391;2381;13.12;25;3;0;Mobile
392;10378;5.77;7;2;0;Desktop
393;9892;43.69;23;3;0;Desktop
394;2462;27.72;20;2;0;Mobile
395;10955;18.68;12;2;0;Tablet
396;10203;13.70;19;0;0;Desktop
397;10909;18.38;24;3;0;Desktop
398;5253;9.70;12;1;0;Mobile
399;6520;21.57;11;1;0;Mobile
400;6621;5.34;6;4;0;Tablet
401;7520;15.15;12;2;0;Tablet
402;469;14.29;19;1;0;Desktop
403;8250;27.63;21;3;1;Desktop
404;358;7.48;9;1;0;Tablet
405;979;3.90;2;0;0;Tablet
406;6678;37.57;25;2;0;Desktop
407;10003;15.62;25;1;0;Desktop
408;7971;9.53;16;0;0;Tablet
409;1575;42.10;22;0;0;Tablet
410;10706;22.61;21;0;0;Tablet
411;2820;25.09;16;4;0;Desktop
412;10259;41.02;23;4;0;Desktop
413;3041;32.30;19;0;0;Desktop
414;10087;11.30;11;0;0;Mobile
415;11199;16.24;19;2;0;Mobile
416;10454;8.60;6;0;0;Mobile
417;7894;27.33;16;0;0;Tablet
418;9387;6.43;5;2;0;Tablet
419;5523;7.86;9;4;0;Tablet
420;7930;19.20;14;2;0;Tablet
421;9596;44.42;23;1;0;Mobile
422;9076;3.45;3;1;0;Mobile
423;3539;36.66;23;1;0;Mobile
424;9521;23.80;21;0;0;Desktop
425;5689;3.33;3;3;0;Mobile
426;10106;23.61;14;0;0;Tablet
427;407;21.68;12;0;0;Desktop
428;7261;26.78;17;0;0;Mobile
429;8078;3.35;3;0;0;Mobile
430;721;1.04;2;2;0;Desktop
431;7837;6.95;7;0;0;Tablet
432;4165;18.45;11;2;0;Desktop
433;7249;1.29;1;0;0;Mobile
434;7439;31.12;24;3;0;Tablet
435;5070;40.88;21;1;0;Desktop
436;9529;16.79;18;2;0;Desktop
437;11147;11.87;12;4;1;Tablet
438;1219;22.08;21;0;0;Mobile
439;9671;13.45;7;0;0;Tablet
440;3730;17.18;17;3;0;Tablet
441;764;27.01;24;0;0;Tablet
442;7792;8.30;12;3;0;Desktop
443;1688;13.78;21;3;0;Desktop
444;10610;19.49;10;0;0;Tablet
445;2073;4.54;3;3;2;Mobile
446;2612;10.98;11;0;0;Desktop
447;2054;10.54;10;0;0;Tablet
448;11760;6.84;7;0;0;Desktop
449;6814;4.52;6;0;0;Desktop
450;2758;11.04;15;0;0;Mobile
451;4705;5.62;4;3;0;Desktop
452;4439;11.30;22;4;0;Desktop
453;6458;7.52;4;1;0;Mobile
454;10495;25.11;20;1;0;Desktop
455;12276;2.91;3;1;0;Desktop
456;2386;16.13;15;0;0;Tablet
457;4039;10.44;6;4;0;Tablet
458;6991;21.76;16;4;0;Mobile
459;3639;3.42;6;0;0;Mobile
460;10394;14.03;8;1;0;Desktop
461;7705;10.24;11;0;0;Mobile
462;5983;11.25;12;0;0;Tablet
463;8159;23.58;20;0;0;Desktop
464;7827;43.14;24;2;0;Tablet
465;5576;10.01;9;1;0;Tablet
466;7953;47.70;24;3;2;Desktop
467;5809;33.79;18;1;0;Mobile
468;10686;41.98;21;0;0;Mobile
469;1371;10.30;6;1;0;Mobile
470;5143;14.90;8;3;0;Desktop
471;8469;2.78;3;0;0;Tablet
472;5759;38.54;22;3;2;Tablet
473;5500;4.36;5;3;0;Tablet
474;3352;8.17;16;2;0;Mobile
475;781;20.43;19;0;0;Mobile
476;5906;1.10;1;0;0;Desktop
477;2325;11.32;16;0;0;Tablet
478;1142;9.65;5;2;0;Mobile
479;530;47.15;25;0;0;Tablet
480;8323;14.64;20;0;0;Tablet
481;3355;12.79;19;0;0;Desktop
482;6022;5.87;6;2;0;Tablet
483;11701;2.87;4;3;2;Mobile
484;4457;2.60;2;0;0;Tablet
485;9420;1.13;1;3;0;Mobile
486;9120;5.49;4;0;0;Mobile
487;5147;40.51;25;0;0;Desktop
488;7139;6.69;7;4;1;Desktop
489;9523;8.41;16;4;0;Mobile
490;7514;6.16;5;3;0;Desktop
491;1643;23.44;23;2;0;Desktop
492;521;15.58;16;3;0;Mobile
493;1222;11.91;18;0;0;Mobile
494;4074;20.43;13;1;0;Mobile
495;3084;9.37;12;2;0;Mobile
496;5678;29.07;19;0;0;Tablet
497;720;33.41;18;0;0;Tablet
498;9140;4.33;5;0;0;Mobile
499;10966;27.10;17;2;0;Tablet
500;582;36.65;19;4;0;Mobile
501;2313;24.24;13;1;0;Desktop
502;9704;3.65;2;2;0;Desktop
503;6534;10.12;12;2;0;Mobile
504;464;18.20;13;0;0;Tablet
505;5767;21.23;12;0;0;Mobile
506;5859;8.22;5;2;0;Mobile
507;1149;29.19;23;2;0;Tablet
508;12016;12.22;17;0;0;Tablet
509;9975;16.92;14;2;0;Tablet
510;10566;10.52;16;1;0;Mobile
511;10034;19.26;11;2;0;Mobile
512;976;14.40;11;0;0;Tablet
513;11407;16.30;17;3;0;Desktop
514;10127;33.92;21;3;0;Mobile
515;5797;3.72;5;1;0;Mobile
516;6912;25.63;23;0;0;Mobile
517;2507;24.92;13;4;0;Tablet
518;12165;20.42;22;0;0;Tablet
519;489;12.79;24;1;0;Mobile
520;9273;13.82;7;0;0;Mobile
521;11473;23.50;19;2;0;Mobile
522;2229;4.92;3;0;0;Tablet
523;12045;6.68;5;2;0;Mobile
524;12377;10.68;12;2;0;Tablet
525;6267;18.08;24;0;0;Tablet
526;1738;23.43;17;4;0;Desktop
527;9766;6.91;4;1;0;Tablet
528;270;30.20;16;0;0;Desktop
529;10443;3.88;2;3;0;Mobile
530;11449;17.41;16;1;0;Mobile
531;3523;19.90;21;0;0;Desktop
532;8585;13.22;16;0;0;Tablet
533;4684;31.37;23;0;0;Mobile
534;4685;22.38;25;3;0;Desktop
535;3378;4.17;3;2;0;Mobile
536;2980;9.42;10;2;0;Mobile
537;2914;7.84;12;4;0;Desktop
538;4536;10.94;6;3;0;Mobile
539;8176;6.47;6;0;0;Desktop
540;4817;3.21;2;0;0;Mobile
541;548;3.25;4;0;0;Mobile
542;4091;6.05;12;0;0;Tablet
543;2357;38.86;20;0;0;Desktop
544;3895;17.91;23;2;0;Tablet
545;9316;20.35;14;1;0;Tablet
546;3711;44.09;24;3;0;Tablet
547;10687;38.78;22;3;0;Mobile
548;5193;12.26;9;3;0;Mobile
549;5952;1.68;2;0;0;Tablet
550;9221;31.08;20;2;0;Tablet
551;1313;24.31;14;2;0;Mobile
552;1417;12.73;20;1;0;Mobile
553;11128;18.84;12;1;0;Desktop
554;330;29.56;16;0;0;Desktop
555;1771;25.73;14;0;0;Tablet
556;12019;10.06;14;0;0;Mobile
557;1532;17.06;24;3;0;Mobile
558;1098;14.40;15;0;0;Mobile
559;8886;8.90;8;4;0;Desktop
560;8932;25.53;16;0;0;Tablet
561;7689;2.51;5;0;0;Mobile
562;886;29.29;23;4;0;Tablet
563;11668;23.25;15;1;0;Mobile
564;75;30.57;23;1;0;Tablet
565;7866;17.30;14;2;0;Mobile
566;1517;9.29;14;0;0;Tablet
567;5355;15.96;14;2;0;Desktop
568;3796;28.37;23;4;0;Desktop
569;8511;15.23;9;3;0;Mobile
570;10868;30.38;19;1;0;Mobile
571;5678;19.81;12;3;1;Mobile
572;9551;2.87;2;4;0;Mobile
573;5127;11.22;8;0;0;Tablet
574;3664;1.15;1;1;0;Desktop
575;2916;0.80;1;1;0;Desktop
576;11768;13.13;9;1;0;Tablet
577;7147;16.05;9;4;0;Desktop
578;12202;14.62;19;3;0;Tablet
579;5276;20.36;20;0;0;Mobile
580;3749;10.57;9;0;0;Tablet
581;2450;4.94;8;4;0;Desktop
582;8048;18.32;10;4;0;Tablet
583;4909;26.63;24;0;0;Tablet
584;5850;25.38;19;0;0;Desktop
585;9089;11.92;7;4;0;Mobile
586;8710;29.89;25;3;0;Desktop
587;2049;35.27;22;4;0;Tablet
588;311;17.67;23;0;0;Desktop
589;10147;5.45;3;0;0;Mobile
590;11141;8.37;10;0;0;Mobile
591;6205;45.51;24;4;0;Tablet
592;7397;25.37;19;2;0;Tablet
593;1272;28.54;16;4;0;Mobile
594;4391;17.63;24;4;0;Mobile
595;8680;4.72;9;0;0;Desktop
596;3648;26.60;15;3;0;Mobile
597;10899;5.00;5;4;0;Mobile
598;9346;14.54;18;1;0;Tablet
599;3808;5.94;10;1;0;Tablet
600;9074;42.09;25;1;0;Desktop
601;8845;11.21;14;0;0;Tablet
602;12413;23.85;13;0;0;Mobile
603;10217;7.60;11;0;0;Desktop
604;8935;11.98;8;4;1;Desktop
605;9270;23.79;12;2;0;Tablet
606;6146;24.97;18;0;0;Mobile
607;3701;24.53;19;0;0;Mobile
608;8923;20.97;11;2;1;Mobile
609;7303;15.20;18;3;1;Desktop
610;10313;14.31;11;0;0;Desktop
611;8047;14.08;17;3;0;Tablet
612;12318;1.98;1;2;1;Mobile
613;8015;24.71;13;4;0;Desktop
614;11146;12.51;8;4;0;Desktop
615;9489;5.46;3;0;0;Mobile
616;8197;9.73;7;3;0;Desktop
617;1478;10.10;15;0;0;Tablet
618;9326;17.86;12;0;0;Tablet
619;8069;19.77;15;2;0;Mobile
620;3529;8.71;5;0;0;Tablet
621;9881;2.74;5;0;0;Mobile
622;6495;16.14;9;0;0;Tablet
623;10664;8.22;15;0;0;Mobile
624;10292;11.51;6;3;0;Desktop
625;7815;3.50;5;0;0;Mobile
626;2164;3.03;4;0;0;Tablet
627;8511;18.36;12;2;0;Tablet
628;12439;1.52;3;0;0;Desktop
629;868;8.15;6;2;0;Tablet
630;3855;2.51;5;2;1;Tablet
631;1011;30.19;17;2;0;Desktop
632;7535;5.41;5;0;0;Desktop
633;398;5.40;6;4;0;Tablet
634;9400;23.65;16;0;0;Mobile
635;4770;12.17;20;0;0;Tablet
636;2797;1.26;2;0;0;Mobile
637;7068;5.62;5;0;0;Tablet
638;10681;18.02;17;4;3;Desktop
639;287;22.36;21;4;0;Tablet
640;10735;32.32;24;1;0;Mobile
641;2142;1.03;2;3;0;Tablet
642;9371;22.34;19;0;0;Tablet
643;3036;29.84;25;0;0;Mobile
644;916;20.20;12;3;0;Tablet
645;6216;11.29;16;1;0;Tablet
646;5496;13.62;7;4;2;Mobile
647;2856;21.79;22;0;0;Mobile
648;11589;5.77;5;0;0;Tablet
649;908;11.17;11;4;0;Tablet
650;8318;10.49;7;2;0;Tablet
651;5814;16.78;17;4;0;Mobile
652;12007;1.01;2;0;0;Desktop
653;11805;15.19;12;3;0;Mobile
654;4139;4.42;6;3;0;Tablet
655;825;14.45;11;4;0;Desktop
656;7862;27.01;14;2;0;Tablet
657;3850;11.30;8;3;0;Tablet
658;9956;21.16;25;1;0;Mobile
659;446;12.31;9;4;1;Desktop
660;3073;17.23;19;0;0;Mobile
661;9951;15.16;16;0;0;Mobile
662;9595;16.62;9;1;0;Desktop
663;6030;31.38;16;4;0;Tablet
664;11124;18.31;20;0;0;Tablet
665;5640;8.76;8;0;0;Tablet
666;3173;2.43;2;0;0;Tablet
667;3437;7.75;7;0;0;Tablet
668;12311;8.48;10;0;0;Mobile
669;9347;9.53;5;0;0;Mobile
670;9795;41.13;21;2;0;Tablet
671;5768;14.17;9;3;0;Desktop
672;9480;2.97;2;3;0;Mobile
673;1527;29.38;25;2;0;Tablet
674;7450;6.50;5;1;0;Tablet
675;5850;43.91;25;4;0;Mobile
676;3340;19.22;15;0;0;Mobile
677;11155;16.51;13;1;0;Tablet
678;7585;19.91;10;1;0;Mobile
679;4427;2.94;4;1;0;Desktop
680;9561;1.74;2;0;0;Tablet
681;5235;4.16;4;3;0;Tablet
682;8861;36.05;22;4;0;Mobile
683;4718;41.92;24;0;0;Tablet
684;2858;32.65;23;2;0;Desktop
685;1993;24.84;24;0;0;Tablet
686;10036;34.63;19;0;0;Mobile
687;529;3.74;7;3;2;Mobile
688;11822;14.85;11;3;0;Tablet
689;3760;1.07;1;4;0;Tablet
690;4529;2.53;4;2;0;Tablet
691;10342;6.68;11;4;2;Desktop
692;11086;28.45;21;3;0;Desktop
693;6221;6.13;4;3;0;Tablet
694;8049;10.29;14;2;0;Mobile
695;214;0.73;1;0;0;Desktop
696;11542;9.69;8;0;0;Mobile
