OrderID;CustomerID;OrderDate;DeliveryDate;OrderStatus;PaymentMethod;TransactionID;ProductID;QuantityOrdered;Totalprice;DiscountsApplied;TaxApplied
10;5639;2023-12-30 10:00:42.270;NULL;NULL;Credit Card;24;246;1;50.93;0.00;4.07
10;5639;2023-12-30 10:00:42.270;NULL;NULL;Credit Card;25;459;1;1003.84;0.00;80.31
10;5639;2023-12-30 10:00:42.270;NULL;NULL;Credit Card;26;10;1;176.89;0.00;14.15
11;6784;2023-07-01 10:00:42.273;2023-07-08 10:00:42.273;Completed;NULL;27;222;1;32.38;6.02;2.59
12;581;2023-05-12 10:00:42.273;2023-05-16 10:00:42.273;Completed;PayPal;28;833;1;42.42;0.00;3.39
12;581;2023-05-12 10:00:42.273;2023-05-16 10:00:42.273;Completed;PayPal;29;515;1;124.19;0.00;9.94
12;581;2023-05-12 10:00:42.273;2023-05-16 10:00:42.273;Completed;PayPal;30;446;1;291.94;0.00;23.36
13;2226;2025-07-01 10:00:42.277;2025-07-08 10:00:42.277;Completed;Credit Card;31;499;1;344.65;0.00;27.57
13;2226;2025-07-01 10:00:42.277;2025-07-08 10:00:42.277;Completed;Credit Card;32;485;1;198.07;0.00;15.85
14;5314;2023-09-08 10:00:42.280;2023-09-15 10:00:42.280;Completed;NULL;33;421;1;119.83;0.00;9.59
14;5314;2023-09-08 10:00:42.280;2023-09-15 10:00:42.280;Completed;NULL;34;737;1;329.68;0.00;26.37
14;5314;2023-09-08 10:00:42.280;2023-09-15 10:00:42.280;Completed;NULL;35;804;1;394.11;29.92;31.53
15;311;2024-11-16 10:00:42.283;2024-11-18 10:00:42.283;Completed;NULL;36;651;1;755.10;0.00;60.41
15;311;2024-11-16 10:00:42.283;2024-11-18 10:00:42.283;Completed;NULL;37;274;1;182.01;27.19;14.56
15;311;2024-11-16 10:00:42.283;2024-11-18 10:00:42.283;Completed;NULL;38;935;1;1998.85;0.00;159.91
16;305;2023-10-07 10:00:42.287;2023-10-13 10:00:42.287;Completed;Cash on Delivery;39;517;1;97.39;12.23;7.79
16;305;2023-10-07 10:00:42.287;2023-10-13 10:00:42.287;Completed;Cash on Delivery;40;773;1;258.59;0.00;20.69
16;305;2023-10-07 10:00:42.287;2023-10-13 10:00:42.287;Completed;Cash on Delivery;41;55;1;846.89;128.24;67.75
17;2875;2025-03-01 10:00:42.290;2025-03-07 10:00:42.290;Completed;Credit Card;42;232;1;115.90;0.00;9.27
18;1294;2025-07-06 10:00:42.293;2025-07-10 10:00:42.293;Completed;NULL;43;692;1;1110.04;0.00;88.80
18;1294;2025-07-06 10:00:42.293;2025-07-10 10:00:42.293;Completed;NULL;44;459;1;1003.84;0.00;80.31
19;8969;2024-03-15 10:00:42.293;2024-03-18 10:00:42.293;Returned;NULL;45;766;1;322.61;0.00;25.81
19;8969;2024-03-15 10:00:42.293;2024-03-18 10:00:42.293;Returned;NULL;46;898;1;136.84;0.00;10.95
19;8969;2024-03-15 10:00:42.293;2024-03-18 10:00:42.293;Returned;NULL;47;359;1;91.75;0.00;7.34
20;8532;2025-05-23 10:00:42.297;NULL;NULL;Debit Card;48;707;1;75.75;0.00;6.06
20;8532;2025-05-23 10:00:42.297;NULL;NULL;Debit Card;49;577;1;403.22;0.00;32.26
20;8532;2025-05-23 10:00:42.297;NULL;NULL;Debit Card;50;978;1;23.50;1.55;1.88
21;6947;2024-03-12 10:00:42.300;NULL;NULL;Credit Card;51;623;1;1110.25;0.00;88.82
21;6947;2024-03-12 10:00:42.300;NULL;NULL;Credit Card;52;908;1;150.55;19.51;12.04
21;6947;2024-03-12 10:00:42.300;NULL;NULL;Credit Card;53;104;1;108.76;0.00;8.70
22;419;2025-09-18 10:00:42.303;NULL;NULL;NULL;54;523;1;1436.35;244.11;114.91
23;1891;2024-12-02 10:00:42.307;NULL;NULL;PayPal;55;499;1;344.65;0.00;27.57
24;6;2025-03-07 10:00:42.307;2025-03-12 10:00:42.307;Completed;Credit Card;56;945;1;1286.33;0.00;102.91
24;6;2025-03-07 10:00:42.307;2025-03-12 10:00:42.307;Completed;Credit Card;57;194;1;192.30;0.00;15.38
24;6;2025-03-07 10:00:42.307;2025-03-12 10:00:42.307;Completed;Credit Card;58;707;1;70.70;5.05;5.66
24;6;2025-03-07 10:00:42.307;2025-03-12 10:00:42.307;Completed;Credit Card;59;729;1;971.29;0.00;77.70
25;990;2024-01-01 10:00:42.310;2024-01-06 10:00:42.310;Completed;Credit Card;60;610;1;1848.49;0.00;147.88
25;990;2024-01-01 10:00:42.310;2024-01-06 10:00:42.310;Completed;Credit Card;61;71;1;1683.91;311.65;134.71
25;990;2024-01-01 10:00:42.310;2024-01-06 10:00:42.310;Completed;Credit Card;62;152;1;143.98;0.00;11.52
26;3058;2024-03-27 10:00:42.313;2024-03-29 10:00:42.313;Completed;PayPal;63;703;1;123.62;0.00;9.89
26;3058;2024-03-27 10:00:42.313;2024-03-29 10:00:42.313;Completed;PayPal;64;315;1;46.08;0.00;3.69
27;502;2023-02-26 10:00:42.317;2023-03-04 10:00:42.317;Completed;Debit Card;65;343;1;181.13;47.02;14.49
27;502;2023-02-26 10:00:42.317;2023-03-04 10:00:42.317;Completed;Debit Card;66;210;1;59.69;7.74;4.78
28;2238;2024-04-11 10:00:42.320;2024-04-15 10:00:42.320;Completed;NULL;67;244;1;163.95;0.00;13.12
29;677;2024-09-01 10:00:42.323;NULL;NULL;Debit Card;68;184;1;926.93;157.53;74.15
29;677;2024-09-01 10:00:42.323;NULL;NULL;Debit Card;69;158;1;28.50;0.00;2.28
29;677;2024-09-01 10:00:42.323;NULL;NULL;Debit Card;70;413;1;268.00;16.98;21.44
30;503;2024-02-02 10:00:42.327;2024-02-05 10:00:42.327;Completed;NULL;71;999;1;80.03;0.00;6.40
30;503;2024-02-02 10:00:42.327;2024-02-05 10:00:42.327;Completed;NULL;72;682;1;1092.91;330.67;87.43
30;503;2024-02-02 10:00:42.327;2024-02-05 10:00:42.327;Completed;NULL;73;584;1;54.36;0.00;4.35
31;1802;2025-04-20 10:00:42.330;2025-04-23 10:00:42.330;Completed;NULL;74;237;1;44.76;0.00;3.58
32;3804;2023-11-06 10:00:42.333;NULL;NULL;Credit Card;75;578;1;128.44;0.00;10.28
32;3804;2023-11-06 10:00:42.333;NULL;NULL;Credit Card;76;832;1;221.09;0.00;17.69
32;3804;2023-11-06 10:00:42.333;NULL;NULL;Credit Card;77;322;1;159.09;0.00;12.73
33;4621;2025-08-06 10:00:42.340;2025-08-09 10:00:42.340;Completed;Cash on Delivery;78;994;1;1023.52;151.19;81.88
34;280;2023-10-24 10:00:42.340;2023-10-30 10:00:42.340;Completed;PayPal;79;991;1;490.18;0.00;39.21
34;280;2023-10-24 10:00:42.340;2023-10-30 10:00:42.340;Completed;PayPal;80;108;1;153.41;0.00;12.27
34;280;2023-10-24 10:00:42.340;2023-10-30 10:00:42.340;Completed;PayPal;81;239;1;189.33;0.00;15.15
35;7719;2022-10-16 10:00:42.347;2022-10-24 10:00:42.347;Completed;PayPal;82;681;1;306.70;0.00;24.54
35;7719;2022-10-16 10:00:42.347;2022-10-24 10:00:42.347;Completed;PayPal;83;692;1;1110.04;0.00;88.80
36;5568;2024-06-16 10:00:42.350;2024-06-18 10:00:42.350;Completed;Debit Card;84;589;1;335.16;63.69;26.81
36;5568;2024-06-16 10:00:42.350;2024-06-18 10:00:42.350;Completed;Debit Card;85;175;1;1070.65;186.49;85.65
36;5568;2024-06-16 10:00:42.350;2024-06-18 10:00:42.350;Completed;Debit Card;86;494;1;36.67;0.00;2.93
36;5568;2024-06-16 10:00:42.350;2024-06-18 10:00:42.350;Completed;Debit Card;87;787;1;405.82;0.00;32.47
37;8511;2023-10-03 10:00:42.353;2023-10-09 10:00:42.353;Completed;NULL;88;480;1;1000.18;0.00;80.01
37;8511;2023-10-03 10:00:42.353;2023-10-09 10:00:42.353;Completed;NULL;89;934;1;255.13;0.00;20.41
38;4554;2024-07-05 10:00:42.357;2024-07-07 10:00:42.357;Completed;Cash on Delivery;90;537;1;133.69;0.00;10.70
39;9104;2025-09-20 10:00:42.360;2025-09-26 10:00:42.360;Completed;Credit Card;91;142;1;116.47;31.29;9.32
39;9104;2025-09-20 10:00:42.360;2025-09-26 10:00:42.360;Completed;Credit Card;92;976;1;198.45;0.00;15.88
39;9104;2025-09-20 10:00:42.360;2025-09-26 10:00:42.360;Completed;Credit Card;93;64;1;212.36;0.00;16.99
39;9104;2025-09-20 10:00:42.360;2025-09-26 10:00:42.360;Completed;Credit Card;94;205;1;269.77;67.21;21.58
40;7236;2023-08-02 10:00:42.363;2023-08-09 10:00:42.363;Completed;Cash on Delivery;95;813;1;223.77;0.00;17.90
40;7236;2023-08-02 10:00:42.363;2023-08-09 10:00:42.363;Completed;Cash on Delivery;96;275;1;110.87;0.00;8.87
41;8325;2025-02-26 10:00:42.367;NULL;NULL;PayPal;97;619;1;369.40;0.00;29.55
41;8325;2025-02-26 10:00:42.367;NULL;NULL;PayPal;98;186;1;11.64;0.00;0.93
42;1338;2024-01-26 10:00:42.370;2024-01-28 10:00:42.370;Completed;NULL;99;206;1;50.28;0.00;4.02
43;279;2024-03-31 10:00:42.370;2024-04-08 10:00:42.370;Completed;Cash on Delivery;100;76;1;174.34;0.00;13.95
43;279;2024-03-31 10:00:42.370;2024-04-08 10:00:42.370;Completed;Cash on Delivery;101;831;1;264.39;0.00;21.15
44;7129;2025-01-04 10:00:42.373;NULL;NULL;NULL;102;721;1;170.35;10.38;13.63
45;1032;2023-01-09 10:00:42.377;NULL;NULL;Cash on Delivery;103;549;1;1123.64;0.00;89.89
46;57;2025-06-24 10:00:42.380;2025-06-29 10:00:42.380;Completed;PayPal;104;954;1;84.22;14.19;6.74
46;57;2025-06-24 10:00:42.380;2025-06-29 10:00:42.380;Completed;PayPal;105;624;1;318.37;104.07;25.47
46;57;2025-06-24 10:00:42.380;2025-06-29 10:00:42.380;Completed;PayPal;106;301;1;71.14;0.00;5.69
47;273;2024-11-30 10:00:42.383;NULL;NULL;Debit Card;107;152;1;143.98;0.00;11.52
48;6351;2024-02-12 10:00:42.387;NULL;NULL;Debit Card;108;606;1;1201.75;247.82;96.14
48;6351;2024-02-12 10:00:42.387;NULL;NULL;Debit Card;109;150;1;164.59;0.00;13.17
48;6351;2024-02-12 10:00:42.387;NULL;NULL;Debit Card;110;283;1;1337.57;0.00;107.01
49;271;2024-03-14 10:00:42.390;NULL;NULL;NULL;111;162;1;205.08;0.00;16.41
49;271;2024-03-14 10:00:42.390;NULL;NULL;NULL;112;816;1;143.76;36.34;11.50
49;271;2024-03-14 10:00:42.390;NULL;NULL;NULL;113;919;1;1319.45;0.00;105.56
49;271;2024-03-14 10:00:42.390;NULL;NULL;NULL;114;279;1;208.90;0.00;16.71
50;9743;2023-07-07 10:00:42.393;NULL;NULL;NULL;115;423;1;1343.97;0.00;107.52
50;9743;2023-07-07 10:00:42.393;NULL;NULL;NULL;116;709;1;50.87;0.00;4.07
51;5657;2024-01-06 10:00:42.397;2024-01-12 10:00:42.397;Completed;NULL;117;664;1;189.25;0.00;15.14
51;5657;2024-01-06 10:00:42.397;2024-01-12 10:00:42.397;Completed;NULL;118;807;1;55.99;0.00;4.48
51;5657;2024-01-06 10:00:42.397;2024-01-12 10:00:42.397;Completed;NULL;119;996;1;361.89;0.00;28.95
52;2029;2025-03-07 10:00:42.400;2025-03-14 10:00:42.400;Completed;PayPal;120;644;1;118.84;13.21;9.51
52;2029;2025-03-07 10:00:42.400;2025-03-14 10:00:42.400;Completed;PayPal;121;583;1;172.24;0.00;13.78
53;339;2024-09-05 10:00:42.403;2024-09-10 10:00:42.403;Completed;NULL;122;583;1;172.24;0.00;13.78
54;9782;2025-08-19 10:00:42.407;2025-08-24 10:00:42.407;Completed;Cash on Delivery;123;694;1;1848.31;0.00;147.86
55;1960;2023-11-28 10:00:42.407;2023-12-05 10:00:42.407;Completed;Debit Card;124;169;1;443.63;0.00;35.49
56;7106;2024-12-29 10:00:42.410;2025-01-05 10:00:42.410;Completed;PayPal;125;699;1;47.29;0.00;3.78
56;7106;2024-12-29 10:00:42.410;2025-01-05 10:00:42.410;Completed;PayPal;126;783;1;49.63;0.00;3.97
56;7106;2024-12-29 10:00:42.410;2025-01-05 10:00:42.410;Completed;PayPal;127;635;1;247.85;0.00;19.83
57;1932;2024-09-07 10:00:42.413;2024-09-11 10:00:42.413;Completed;Cash on Delivery;128;207;1;575.74;0.00;46.06
57;1932;2024-09-07 10:00:42.413;2024-09-11 10:00:42.413;Completed;Cash on Delivery;129;279;1;208.90;0.00;16.71
58;6034;2024-01-11 10:00:42.417;NULL;NULL;PayPal;130;155;1;474.73;0.00;37.98
58;6034;2024-01-11 10:00:42.417;NULL;NULL;PayPal;131;171;1;452.49;0.00;36.20
59;7710;2023-07-05 10:00:42.417;2023-07-08 10:00:42.417;Completed;NULL;132;945;1;1286.33;0.00;102.91
60;4652;2023-08-19 10:00:42.420;2023-08-25 10:00:42.420;Completed;PayPal;133;557;1;101.87;11.41;8.15
60;4652;2023-08-19 10:00:42.420;2023-08-25 10:00:42.420;Completed;PayPal;134;200;19;24373.37;7148.96;1949.87
60;4652;2023-08-19 10:00:42.420;2023-08-25 10:00:42.420;Completed;PayPal;135;590;1;56.92;0.00;4.55
60;4652;2023-08-19 10:00:42.420;2023-08-25 10:00:42.420;Completed;PayPal;136;806;1;69.62;0.00;5.57
61;414;2023-12-19 10:00:42.423;2023-12-21 10:00:42.423;Completed;PayPal;137;932;1;230.07;43.13;18.41
61;414;2023-12-19 10:00:42.423;2023-12-21 10:00:42.423;Completed;PayPal;138;373;1;635.15;0.00;50.81
61;414;2023-12-19 10:00:42.423;2023-12-21 10:00:42.423;Completed;PayPal;139;338;1;228.93;0.00;18.31
61;414;2023-12-19 10:00:42.423;2023-12-21 10:00:42.423;Completed;PayPal;140;636;1;163.78;10.95;13.10
62;2699;2024-05-13 10:00:42.430;2024-05-16 10:00:42.430;Completed;Credit Card;141;838;1;190.10;0.00;15.21
62;2699;2024-05-13 10:00:42.430;2024-05-16 10:00:42.430;Completed;Credit Card;142;804;1;424.03;0.00;33.92
63;661;2022-12-06 10:00:42.430;2022-12-09 10:00:42.430;Completed;PayPal;143;581;1;287.34;0.00;22.99
64;4912;2024-01-10 10:00:42.430;NULL;NULL;Credit Card;144;380;1;257.54;0.00;20.60
64;4912;2024-01-10 10:00:42.430;NULL;NULL;Credit Card;145;219;1;50.00;0.00;4.00
64;4912;2024-01-10 10:00:42.430;NULL;NULL;Credit Card;146;317;1;139.51;0.00;11.16
65;3739;2023-05-07 10:00:42.437;NULL;NULL;Credit Card;147;842;1;94.81;0.00;7.58
66;8050;2022-11-14 10:00:42.437;2022-11-21 10:00:42.437;Completed;PayPal;148;487;1;106.51;22.45;8.52
66;8050;2022-11-14 10:00:42.437;2022-11-21 10:00:42.437;Completed;PayPal;149;723;1;1183.01;0.00;94.64
66;8050;2022-11-14 10:00:42.437;2022-11-21 10:00:42.437;Completed;PayPal;150;553;1;67.56;0.00;5.40
67;2320;2024-05-18 10:00:42.440;2024-05-24 10:00:42.440;Completed;Cash on Delivery;151;551;1;120.77;14.69;9.66
67;2320;2024-05-18 10:00:42.440;2024-05-24 10:00:42.440;Completed;Cash on Delivery;152;418;1;282.11;0.00;22.57
67;2320;2024-05-18 10:00:42.440;2024-05-24 10:00:42.440;Completed;Cash on Delivery;153;186;1;11.64;0.00;0.93
67;2320;2024-05-18 10:00:42.440;2024-05-24 10:00:42.440;Completed;Cash on Delivery;154;670;1;1581.93;0.00;126.55
68;1396;2024-06-05 10:00:42.443;2024-06-09 10:00:42.443;Completed;Credit Card;155;628;1;36.35;0.00;2.91
68;1396;2024-06-05 10:00:42.443;2024-06-09 10:00:42.443;Completed;Credit Card;156;942;1;65.29;0.00;5.22
68;1396;2024-06-05 10:00:42.443;2024-06-09 10:00:42.443;Completed;Credit Card;157;200;1;1659.07;0.00;132.73
68;1396;2024-06-05 10:00:42.443;2024-06-09 10:00:42.443;Completed;Credit Card;158;345;1;85.00;0.00;6.80
69;9253;2024-01-10 10:00:42.447;NULL;NULL;NULL;159;97;1;151.86;0.00;12.15
69;9253;2024-01-10 10:00:42.447;NULL;NULL;NULL;160;610;1;1848.49;0.00;147.88
69;9253;2024-01-10 10:00:42.447;NULL;NULL;NULL;161;292;1;728.68;183.17;58.29
70;17;2024-08-01 10:00:42.450;NULL;NULL;Debit Card;162;155;1;474.73;0.00;37.98
71;479;2022-11-10 10:00:42.453;2022-11-14 10:00:42.453;Completed;NULL;163;232;1;115.90;0.00;9.27
71;479;2022-11-10 10:00:42.453;2022-11-14 10:00:42.453;Completed;NULL;164;487;1;128.96;0.00;10.32
72;6729;2024-04-20 10:00:42.457;2024-04-22 10:00:42.457;Completed;NULL;165;702;1;221.79;31.69;17.74
72;6729;2024-04-20 10:00:42.457;2024-04-22 10:00:42.457;Completed;NULL;166;446;1;291.94;0.00;23.36
72;6729;2024-04-20 10:00:42.457;2024-04-22 10:00:42.457;Completed;NULL;167;858;1;985.04;0.00;78.80
72;6729;2024-04-20 10:00:42.457;2024-04-22 10:00:42.457;Completed;NULL;168;105;1;139.70;0.00;11.18
73;9657;2025-09-17 10:00:42.460;2025-09-25 10:00:42.460;Completed;NULL;169;660;1;1845.67;0.00;147.65
73;9657;2025-09-17 10:00:42.460;2025-09-25 10:00:42.460;Completed;NULL;170;860;1;108.49;0.00;8.68
73;9657;2025-09-17 10:00:42.460;2025-09-25 10:00:42.460;Completed;NULL;171;37;1;65.17;0.00;5.21
74;6263;2025-05-04 10:00:42.463;2025-05-07 10:00:42.463;Returned;PayPal;172;599;1;114.26;0.00;9.14
74;6263;2025-05-04 10:00:42.463;2025-05-07 10:00:42.463;Returned;PayPal;173;213;1;204.03;0.00;16.32
75;420;2023-01-01 10:00:42.467;2023-01-08 10:00:42.467;Completed;Cash on Delivery;174;153;1;493.82;127.62;39.51
75;420;2023-01-01 10:00:42.467;2023-01-08 10:00:42.467;Completed;Cash on Delivery;175;650;1;331.74;0.00;26.54
75;420;2023-01-01 10:00:42.467;2023-01-08 10:00:42.467;Completed;Cash on Delivery;176;140;1;65.63;0.00;5.25
75;420;2023-01-01 10:00:42.467;2023-01-08 10:00:42.467;Completed;Cash on Delivery;177;83;1;359.51;0.00;28.76
76;1490;2023-09-16 10:00:42.470;2023-09-20 10:00:42.470;Completed;NULL;178;997;1;127.32;0.00;10.19
77;3601;2025-04-28 10:00:42.470;2025-05-06 10:00:42.470;Completed;Credit Card;179;833;1;42.42;0.00;3.39
78;1826;2024-09-17 10:00:42.473;NULL;NULL;Cash on Delivery;180;1;1;443.71;0.00;35.50
79;9309;2025-06-15 10:00:42.473;2025-06-21 10:00:42.473;Completed;NULL;181;98;1;404.43;0.00;32.35
79;9309;2025-06-15 10:00:42.473;2025-06-21 10:00:42.473;Completed;NULL;182;207;1;575.74;0.00;46.06
79;9309;2025-06-15 10:00:42.473;2025-06-21 10:00:42.473;Completed;NULL;183;191;1;203.55;0.00;16.28
79;9309;2025-06-15 10:00:42.473;2025-06-21 10:00:42.473;Completed;NULL;184;34;1;122.87;0.00;9.83
80;956;2023-01-29 10:00:42.480;NULL;NULL;NULL;185;460;1;325.26;0.00;26.02
80;956;2023-01-29 10:00:42.480;NULL;NULL;NULL;186;251;1;269.07;0.00;21.53
80;956;2023-01-29 10:00:42.480;NULL;NULL;NULL;187;49;1;290.62;33.80;23.25
81;6968;2023-04-06 10:00:42.483;2023-04-11 10:00:42.483;Completed;Debit Card;188;589;1;398.85;0.00;31.91
81;6968;2023-04-06 10:00:42.483;2023-04-11 10:00:42.483;Completed;Debit Card;189;984;1;148.69;0.00;11.90
81;6968;2023-04-06 10:00:42.483;2023-04-11 10:00:42.483;Completed;Debit Card;190;843;1;293.37;0.00;23.47
82;2482;2023-06-13 10:00:42.487;NULL;NULL;Debit Card;191;128;1;191.60;0.00;15.33
82;2482;2023-06-13 10:00:42.487;NULL;NULL;Debit Card;192;355;1;282.05;0.00;22.56
83;1023;2025-01-03 10:00:42.490;NULL;NULL;Credit Card;193;925;1;47.45;0.00;3.80
83;1023;2025-01-03 10:00:42.490;NULL;NULL;Credit Card;194;392;1;201.26;0.00;16.10
84;4200;2023-12-12 10:00:42.490;2023-12-15 10:00:42.490;Completed;Credit Card;195;642;1;482.99;0.00;38.64
84;4200;2023-12-12 10:00:42.490;2023-12-15 10:00:42.490;Completed;Credit Card;196;216;1;57.69;0.00;4.62
84;4200;2023-12-12 10:00:42.490;2023-12-15 10:00:42.490;Completed;Credit Card;197;530;1;187.53;0.00;15.00
85;22;2023-06-23 10:00:42.493;2023-06-29 10:00:42.493;Completed;Debit Card;198;702;1;204.57;48.91;16.37
85;22;2023-06-23 10:00:42.493;2023-06-29 10:00:42.493;Completed;Debit Card;199;735;1;183.72;0.00;14.70
85;22;2023-06-23 10:00:42.493;2023-06-29 10:00:42.493;Completed;Debit Card;200;473;1;491.34;0.00;39.31
85;22;2023-06-23 10:00:42.493;2023-06-29 10:00:42.493;Completed;Debit Card;201;567;1;133.45;0.00;10.68
86;3246;2025-08-13 10:00:42.500;2025-08-15 10:00:42.500;Completed;Debit Card;202;958;1;154.14;0.00;12.33
86;3246;2025-08-13 10:00:42.500;2025-08-15 10:00:42.500;Completed;Debit Card;203;441;1;80.17;15.35;6.41
87;2270;2024-03-17 10:00:42.500;2024-03-22 10:00:42.500;Completed;Debit Card;204;884;1;162.40;0.00;12.99
87;2270;2024-03-17 10:00:42.500;2024-03-22 10:00:42.500;Completed;Debit Card;205;515;1;124.19;0.00;9.94
87;2270;2024-03-17 10:00:42.500;2024-03-22 10:00:42.500;Completed;Debit Card;206;654;1;514.61;0.00;41.17
88;9688;2022-12-06 10:00:42.503;2022-12-09 10:00:42.503;Completed;NULL;207;796;1;201.25;23.53;16.10
88;9688;2022-12-06 10:00:42.503;2022-12-09 10:00:42.503;Completed;NULL;208;499;1;344.65;0.00;27.57
88;9688;2022-12-06 10:00:42.503;2022-12-09 10:00:42.503;Completed;NULL;209;232;1;115.90;0.00;9.27
89;3949;2023-03-16 10:00:42.507;2023-03-19 10:00:42.507;Completed;Cash on Delivery;210;160;1;563.16;0.00;45.05
89;3949;2023-03-16 10:00:42.507;2023-03-19 10:00:42.507;Completed;Cash on Delivery;211;56;1;198.66;0.00;15.89
90;3267;2023-02-04 10:00:42.510;2023-02-08 10:00:42.510;Completed;PayPal;212;307;1;69.00;15.71;5.52
90;3267;2023-02-04 10:00:42.510;2023-02-08 10:00:42.510;Completed;PayPal;213;559;1;804.59;85.31;64.37
91;7314;2023-05-02 10:00:42.513;2023-05-04 10:00:42.513;Completed;PayPal;214;632;7;1043.06;184.88;83.44
92;1588;2025-01-25 10:00:42.513;2025-02-02 10:00:42.513;Completed;Credit Card;215;662;1;271.19;74.19;21.70
92;1588;2025-01-25 10:00:42.513;2025-02-02 10:00:42.513;Completed;Credit Card;216;78;1;199.68;0.00;15.97
93;1311;2025-04-13 10:00:42.517;NULL;NULL;Credit Card;217;830;1;143.83;0.00;11.51
94;4155;2022-11-18 10:00:42.520;2022-11-26 10:00:42.520;Completed;NULL;218;485;1;198.07;0.00;15.85
95;4199;2024-07-16 10:00:42.520;2024-07-18 10:00:42.520;Completed;NULL;219;420;1;41.67;0.00;3.33
95;4199;2024-07-16 10:00:42.520;2024-07-18 10:00:42.520;Completed;NULL;220;614;4;632.16;0.00;50.57
95;4199;2024-07-16 10:00:42.520;2024-07-18 10:00:42.520;Completed;NULL;221;489;1;21.04;3.43;1.68
96;433;2024-05-28 10:00:42.527;2024-05-31 10:00:42.527;Completed;PayPal;222;764;1;61.99;0.00;4.96
96;433;2024-05-28 10:00:42.527;2024-05-31 10:00:42.527;Completed;PayPal;223;804;1;424.03;0.00;33.92
96;433;2024-05-28 10:00:42.527;2024-05-31 10:00:42.527;Completed;PayPal;224;407;1;118.55;0.00;9.48
97;108;2024-05-13 10:00:42.530;NULL;NULL;Credit Card;225;13;1;1940.27;0.00;155.22
97;108;2024-05-13 10:00:42.530;NULL;NULL;Credit Card;226;716;1;981.18;0.00;78.49
97;108;2024-05-13 10:00:42.530;NULL;NULL;Credit Card;227;632;1;163.04;12.38;13.04
98;1133;2023-04-27 10:00:42.537;NULL;NULL;NULL;228;358;1;1061.56;0.00;84.92
98;1133;2023-04-27 10:00:42.537;NULL;NULL;NULL;229;566;1;656.00;132.81;52.48
99;8215;2025-07-07 10:00:42.540;2025-07-14 10:00:42.540;Returned;NULL;230;622;1;412.57;0.00;33.01
99;8215;2025-07-07 10:00:42.540;2025-07-14 10:00:42.540;Returned;NULL;231;947;1;65.16;4.05;5.21
99;8215;2025-07-07 10:00:42.540;2025-07-14 10:00:42.540;Returned;NULL;232;171;1;452.49;0.00;36.20
100;1419;2023-10-24 10:00:42.543;NULL;NULL;PayPal;233;555;1;789.01;137.19;63.12
